epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
82,2033.68,1.07237,1.17052,1.24543,0.56167,0.61742,0.62071,0.48359,0.95424,1.41507,1.30597,0.0239858,0.00799525,0.0239858,0.00799525,0.0239858,0.00799525,0.0239858,0.00799525
83,2057.3,1.07007,1.15492,1.24599,0.61839,0.59709,0.64463,0.492,0.95018,1.30124,1.30627,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
84,2080.97,1.06866,1.14082,1.23965,0.51348,0.67964,0.63572,0.48931,0.9593,1.35378,1.29644,0.0238373,0.00794575,0.0238373,0.00794575,0.0238373,0.00794575,0.0238373,0.00794575
85,2104.65,1.07425,1.15217,1.23937,0.5752,0.58324,0.61342,0.46953,0.95207,1.35014,1.29906,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
86,2128.33,1.05542,1.14434,1.24175,0.59285,0.58607,0.62015,0.47317,0.97063,1.3618,1.31702,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
87,2152.23,1.05,1.12604,1.23917,0.61851,0.61913,0.64281,0.49183,0.95861,1.32351,1.32541,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
88,2175.7,1.05007,1.13959,1.2331,0.62125,0.58767,0.62507,0.47598,0.94528,1.33,1.30547,0.0235402,0.00784675,0.0235402,0.00784675,0.0235402,0.00784675,0.0235402,0.00784675
89,2199.35,1.06441,1.15094,1.23593,0.58963,0.59533,0.62689,0.47887,0.95493,1.35183,1.31426,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
90,2223.11,1.047,1.12601,1.23435,0.5682,0.66885,0.65595,0.50758,0.95937,1.28461,1.31141,0.0233917,0.00779725,0.0233917,0.00779725,0.0233917,0.00779725,0.0233917,0.00779725
91,2246.63,1.0506,1.11881,1.23544,0.55332,0.65018,0.62648,0.48762,0.93325,1.35955,1.29186,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
92,2271.1,1.03768,1.07534,1.22208,0.5749,0.65408,0.63538,0.48829,0.95626,1.38577,1.2961,0.0232433,0.00774775,0.0232433,0.00774775,0.0232433,0.00774775,0.0232433,0.00774775
93,2294.87,1.03881,1.09511,1.22747,0.58225,0.57524,0.62181,0.4802,0.93645,1.39929,1.2828,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
94,2318.46,1.04889,1.08744,1.22364,0.61702,0.59295,0.62761,0.47725,0.9657,1.37397,1.3079,0.0230947,0.00769825,0.0230947,0.00769825,0.0230947,0.00769825,0.0230947,0.00769825
95,2342.23,1.0374,1.0805,1.22548,0.61171,0.62773,0.64163,0.49371,0.96352,1.35807,1.29472,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
96,2365.96,1.03226,1.08245,1.22477,0.55493,0.65598,0.63056,0.48445,0.96258,1.34586,1.31367,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875
97,2389.66,1.02399,1.07676,1.2157,0.56084,0.62766,0.60999,0.47129,0.96727,1.43178,1.31599,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
98,2413.26,1.04002,1.07818,1.22092,0.63805,0.58907,0.63132,0.48683,0.96083,1.39167,1.30448,0.0227978,0.00759925,0.0227978,0.00759925,0.0227978,0.00759925,0.0227978,0.00759925
99,2437.12,1.02616,1.06156,1.21823,0.59475,0.65199,0.63258,0.48574,0.95378,1.35422,1.29745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
100,2460.72,1.02546,1.05969,1.22727,0.61305,0.58177,0.63442,0.4899,0.94954,1.40661,1.32251,0.0226492,0.00754975,0.0226492,0.00754975,0.0226492,0.00754975,0.0226492,0.00754975
101,2484.35,1.02967,1.06541,1.22124,0.60196,0.60192,0.63301,0.49241,0.9399,1.45557,1.29288,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
102,2507.99,1.0279,1.07409,1.22855,0.53854,0.65086,0.63366,0.49268,0.93417,1.39994,1.29211,0.0225007,0.00750025,0.0225007,0.00750025,0.0225007,0.00750025,0.0225007,0.00750025
103,2531.74,1.0305,1.06364,1.2229,0.58694,0.66119,0.64287,0.49951,0.93984,1.32144,1.28798,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
104,2555.24,1.02053,1.04095,1.21527,0.57787,0.6069,0.63035,0.48327,0.9501,1.36387,1.29666,0.0223522,0.00745075,0.0223522,0.00745075,0.0223522,0.00745075,0.0223522,0.00745075
105,2578.92,1.02104,1.04721,1.22202,0.56753,0.62661,0.63487,0.48746,0.97003,1.38046,1.32,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
106,2602.73,1.026,1.035,1.20933,0.60988,0.61334,0.63906,0.48759,0.96113,1.35825,1.30866,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125
107,2626.46,1.01239,1.02483,1.20998,0.58022,0.62653,0.64086,0.4927,0.97829,1.33829,1.32821,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
108,2650.21,1.01305,1.02444,1.21131,0.60286,0.61193,0.63183,0.48687,0.95705,1.36056,1.31264,0.0220552,0.00735175,0.0220552,0.00735175,0.0220552,0.00735175,0.0220552,0.00735175
109,2673.98,1.00457,1.02047,1.2109,0.54005,0.69095,0.66819,0.5074,0.97048,1.30618,1.33117,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
110,2697.56,1.02976,1.01274,1.21257,0.55241,0.65255,0.64646,0.48938,0.97817,1.38736,1.32559,0.0219067,0.00730225,0.0219067,0.00730225,0.0219067,0.00730225,0.0219067,0.00730225
111,2721.37,1.01435,1.02318,1.21007,0.60728,0.6454,0.65189,0.4969,0.95804,1.35375,1.31221,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
112,2745.15,1.02123,1.02526,1.22029,0.56818,0.6573,0.65196,0.50238,0.98482,1.34648,1.33256,0.0217582,0.00725275,0.0217582,0.00725275,0.0217582,0.00725275,0.0217582,0.00725275
113,2768.99,1.01343,1.01952,1.21138,0.64991,0.5929,0.63077,0.48588,0.96779,1.38208,1.32717,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
114,2792.69,1.00539,1.01791,1.2142,0.61883,0.58405,0.63692,0.48608,0.97349,1.35073,1.33123,0.0216098,0.00720325,0.0216098,0.00720325,0.0216098,0.00720325,0.0216098,0.00720325
